lead_id,advisor_crd,contacted_date,target,is_recent_mover,days_since_last_move,firm_departures_corrected,bleeding_velocity_encoded,recent_mover_x_bleeding,is_independent_ria,is_ia_rep_type,is_dual_registered,independent_ria_x_ia_rep
00QVS00000HSP5T2AX,2142634,2025-04-03,0,0,7279,24,2,0,0,0,0,0
00QVS00000Ci6KH2AZ,6929564,2024-11-11,0,0,1691,411,2,0,0,0,1,0
00QVS00000IRkrV2AT,4986307,2025-08-08,0,0,2775,1262,2,0,0,0,0,0
00QVS00000Ci6Ir2AJ,6375125,2024-11-13,0,0,3165,0,0,0,0,0,1,0
00QVS00000MQeeQ2AT,6718229,2025-09-16,0,1,219,10,2,1,0,1,0,0
00QVS00000LTDth2AH,6057776,2025-08-12,0,0,4584,0,0,0,0,0,1,0
00QVS00000Fowb92AB,2785181,2025-03-10,0,0,5120,143,1,0,0,0,1,0
00QVS0000092VnZ2AU,6308055,2024-08-21,0,1,105,1093,2,1,0,0,1,0
00QVS00000CXvk72AD,6302945,2025-09-25,0,0,4154,0,0,0,0,0,1,0
00QVS00000Fow4H2AR,4991036,2025-02-13,0,0,3461,105,2,0,0,0,0,0
00QVS00000KUkE42AL,4156246,2025-07-02,0,0,5495,0,0,0,0,0,0,0
00QVS000005zoWK2AY,4034917,2024-04-18,0,0,896,11,3,0,1,0,1,0
00QVS000009cnMR2AY,5858461,2024-09-10,0,0,3770,1349,2,0,0,0,1,0
00QVS00000Fovy72AB,5561660,2025-02-12,0,0,2168,1,0,0,1,1,0,1
00QVS000009cnYO2AY,6499722,2024-08-13,0,0,2898,0,0,0,0,0,1,0
00QVS00000DNbHj2AL,4205519,2024-12-10,0,0,6717,5,2,0,0,0,1,0
00QVS00000Ebx8r2AB,5610466,2025-01-07,0,1,88,329,3,1,0,0,1,0
00QVS00000KUkCv2AL,5947475,2025-07-10,0,0,4158,53,3,0,0,0,1,0
00QVS000009cnMN2AY,6373233,2024-08-14,0,0,3554,0,0,0,0,0,1,0
00QVS00000MQf5X2AT,6238255,2025-09-03,0,1,303,26,2,1,1,1,0,1
00QVS00000BYIQy2AP,4796110,2024-10-09,0,0,1608,1179,2,0,0,0,1,0
00QVS000005znHb2AI,3274661,2024-04-24,0,0,9999,8,3,0,0,0,1,0
00QVS0000041iWB2AY,4922901,2025-09-10,0,0,2382,12,2,0,1,1,0,1
00QVS00000FJ5i62AD,5455960,2025-02-11,0,0,9999,38,3,0,0,0,1,0
00QVS00000NK16x2AD,2100782,2025-10-02,0,1,140,592,1,1,0,0,1,0
00QVS00000EbpzO2AR,5207007,2025-01-09,0,0,1714,1164,2,0,0,0,1,0
00QVS00000IRkT82AL,7025597,2025-05-14,0,0,2388,0,0,0,0,0,0,0
00QVS00000Ci6Em2AJ,3082073,2024-12-05,0,0,8225,0,0,0,0,0,1,0
00QVS000009co0F2AQ,3037277,2025-10-01,0,0,2379,87,1,0,0,0,1,0
00QVS000008Tytq2AC,7148137,2024-07-15,0,0,1596,0,0,0,0,0,1,0
00QVS00000Fow9v2AB,5410305,2025-02-19,0,0,1658,0,0,0,0,0,0,0
00QVS000008Tz1N2AS,2375488,2024-07-17,0,0,3908,0,0,0,0,0,1,0
00QVS00000HSPBG2A5,3228448,2025-04-03,0,0,9999,141,2,0,0,0,1,0
00QVS000008TzSQ2A0,2477453,2024-07-29,0,0,3882,1,0,0,0,0,0,0
00QDn000009u4YbMAI,720978,2024-06-19,0,0,3067,22,1,0,0,0,1,0
00QVS00000CXwK92AL,4153900,2024-12-05,0,0,5853,229,2,0,0,0,1,0
00QVS00000DNamh2AD,5901756,2024-12-04,0,0,4300,33,2,0,0,0,1,0
00QVS00000LTDvd2AH,4055366,2025-08-07,0,0,9999,151,2,0,0,0,1,0
00QVS00000IRlDU2A1,6408500,2025-05-22,0,0,2687,1,0,0,1,1,0,1
00QVS000008TzMb2AK,2990415,2024-07-18,0,0,1014,514,2,0,0,0,1,0
00QVS00000GCEyy2AH,6688897,2025-04-09,0,0,3141,0,0,0,1,1,0,1
00QVS00000DNSSu2AP,5868760,2025-01-06,0,0,3617,12,1,0,1,0,1,0
00QVS00000HDkIk2AL,1179499,2025-04-02,0,0,8223,0,0,0,1,1,0,1
00QVS00000BYJB02AP,3140595,2024-10-03,0,0,2175,1,0,0,0,0,1,0
00QVS000009cnEX2AY,4786303,2024-08-05,0,0,1336,1184,2,0,0,0,1,0
00QVS00000Fovz62AB,5642894,2025-02-11,0,0,2205,1423,2,0,1,1,0,1
00QVS00000AaxUk2AJ,5124345,2024-09-06,0,0,1387,137,2,0,0,0,1,0
00QVS00000MQepQ2AT,7971357,2025-09-04,0,1,295,0,0,0,0,0,0,0
00QVS00000BYIGF2A5,2127374,2024-10-16,0,1,197,2,0,0,1,1,0,1
00QVS000009cnl72AA,4648501,2024-10-25,0,0,3403,1395,2,0,0,0,0,0
00QVS00000AaxWJ2AZ,7157819,2024-09-06,0,0,1766,0,0,0,0,0,0,0
00QVS000009cnfs2AA,6023171,2024-08-14,0,0,3850,1085,2,0,0,0,1,0
00QVS000008TzVW2A0,1159088,2024-07-29,0,0,1666,0,0,0,0,0,0,0
00QVS00000DNapY2AT,4883728,2024-12-03,0,0,7236,0,0,0,0,0,1,0
00QVS00000NLmfi2AD,7639864,2025-10-09,0,0,986,0,0,0,0,0,1,0
00QVS00000Aay1J2AR,6273489,2024-09-06,0,0,1143,7,2,0,0,0,1,0
00QVS00000BYJCd2AP,7213385,2024-10-03,0,0,9999,8,3,0,1,1,0,1
00QDn000009qkGyMAI,5696608,2025-10-20,0,0,1600,35,2,0,1,1,0,1
00QVS000009cnKK2AY,4754024,2024-09-27,0,0,7233,0,0,0,0,0,0,0
00QVS00000CACqg2AH,6050419,2024-10-30,0,0,4466,0,0,0,0,0,1,0
00QVS00000CXvT72AL,6315222,2025-03-13,0,1,125,1502,2,1,0,0,0,0
00QVS000005UmmI2AS,6311358,2024-04-05,0,1,39,3,3,0,1,1,0,1
00QVS00000CXvS02AL,6342358,2024-11-05,0,0,3725,0,0,0,0,0,1,0
00QVS00000BYJI02AP,5103917,2024-10-16,0,0,3550,181,2,0,1,0,1,0
00QVS00000LTDct2AH,5720656,2025-08-12,0,0,5635,0,0,0,0,0,1,0
00QVS00000GCF092AH,2662931,2025-03-18,0,0,2093,11,3,0,1,1,0,1
00QVS00000HSP6a2AH,2450185,2025-04-08,0,0,6185,24,2,0,0,0,1,0
00QVS00000AU1En2AL,2246630,2025-07-23,0,0,7282,3,2,0,1,1,0,1
00QVS00000MQefH2AT,6288396,2025-10-15,0,1,99,3,2,0,1,1,0,1
00QVS00000CXvSL2A1,6018592,2024-11-07,0,0,1883,1543,2,0,0,0,1,0
00QVS00000CXvzI2AT,3132107,2024-11-08,0,0,1705,1198,2,0,0,0,1,0
00QVS000005i80I2AQ,3004005,2024-04-10,0,0,2289,0,0,0,0,0,0,0
00QVS00000D23Um2AJ,6298081,2024-12-03,0,0,1422,4,1,0,0,0,0,0
00QVS000008TzWp2AK,6566221,2024-07-02,0,0,3115,0,0,0,0,0,1,0
00QVS000007BW9P2AW,4720062,2024-05-23,0,0,932,0,0,0,1,0,1,0
00QVS00000KUjG02AL,6613146,2025-07-08,0,0,3381,0,0,0,1,1,0,1
00QVS000008TzMW2A0,3042542,2024-07-18,0,0,1056,537,2,0,0,0,1,0
00QVS00000MQekW2AT,6958854,2025-09-03,0,0,383,112,2,0,0,0,1,0
00QVS00000GCFRw2AP,4992743,2025-03-12,0,0,2975,0,0,0,1,0,1,0
00QVS00000HDkAj2AL,5801517,2025-03-26,0,0,3781,6,1,0,1,1,0,1
00QDn000009srx1MAA,7023299,2024-10-15,0,0,2097,0,0,0,1,1,0,1
00QVS000009cmWf2AI,1423639,2024-08-07,0,0,9999,0,0,0,0,0,1,0
00QVS000009cnm02AA,6617482,2024-08-13,0,0,2318,500,2,0,0,0,1,0
00QVS00000CACqr2AH,6538139,2024-10-25,0,1,51,1527,2,1,0,0,1,0
00QVS00000BYIxb2AH,6368493,2025-10-17,0,0,3923,0,0,0,0,0,0,0
00QVS000009cnfp2AA,5189114,2025-07-25,0,0,3767,107,2,0,0,0,1,0
00QVS00000LTDPW2A5,6292067,2025-08-20,0,0,1196,7,2,0,1,1,0,1
00QVS00000FowZe2AJ,5189195,2025-03-03,0,0,3205,435,2,0,0,0,1,0
00QVS00000GCFYA2A5,4804152,2025-02-26,0,0,9999,27,1,0,1,0,1,0
00QVS00000DNb3s2AD,2081222,2024-12-10,0,0,10613,12,3,0,0,0,1,0
00QVS000005zoXA2AY,2810087,2024-04-24,0,0,419,0,0,0,1,1,0,1
00QVS00000D23X42AJ,7328380,2024-12-03,0,0,592,0,0,0,1,1,0,1
00QVS00000CXvrV2AT,6079895,2024-11-14,0,0,9999,0,0,0,0,0,0,0
00QVS000009cmSp2AI,6663185,2024-08-07,0,0,1085,1,0,0,1,0,1,0
00QVS00000BYJUu2AP,5952860,2024-10-14,0,0,1335,17,2,0,0,0,1,0
00QVS00000KUju42AD,5615843,2025-07-09,0,0,9999,46,3,0,0,0,1,0
00QVS000008TzbJ2AS,6219282,2024-07-18,0,0,3916,0,0,0,0,0,1,0
00QVS00000FJ5Q42AL,5839328,2025-01-30,0,0,2868,30,3,0,0,0,1,0
00QVS00000MBe9H2AT,7269204,2025-08-26,0,0,1651,0,0,0,0,0,0,0
00QVS00000MBKIG2A5,5968491,2025-08-27,1,1,9,706,2,1,0,0,0,0
